node,entrez,gene_name,initial,ppion
583.0,1373,CPS1,TRUE,FALSE
584.0,9938,ARHGAP25,TRUE,FALSE
585.0,2800,GOLGA1,TRUE,FALSE
586.0,10788,IQGAP2,TRUE,FALSE
587.0,6176,RPLP1,TRUE,FALSE
588.0,4688,NCF2,TRUE,FALSE
589.0,22913,RALY,TRUE,FALSE
590.0,55582,KIF27,TRUE,FALSE
591.0,2324,FLT4,TRUE,FALSE
592.0,8100,IFT88,TRUE,FALSE
593.0,5868,RAB5A,TRUE,FALSE
594.0,11055,ZPBP,TRUE,FALSE
595.0,642517,AGAP9,TRUE,FALSE
596.0,375,ARF1,TRUE,FALSE
597.0,22841,RAB11FIP2,TRUE,FALSE
598.0,26052,DNM3,TRUE,FALSE
599.0,29999,FSCN3,TRUE,FALSE
600.0,5361,PLXNA1,TRUE,FALSE
601.0,6133,RPL9,TRUE,FALSE
602.0,377,ARF3,TRUE,FALSE
603.0,64837,KLC2,TRUE,FALSE
